	A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T	U	V	W	X	Y	Z
OTU_11	358.0	1035.0	587.0	0.0	0.0	307.0	0.0	268.0	0.0	0.0	488.0	0.0	1303.0	0.0	0.0	884.0	0.0	1220.0	0.0	678.0	73.0	0.0	0.0	0.0	0.0	0.0
OTU_12	438.0	1878.0	0.0	788.0	0.0	0.0	0.0	1353.0	496.0	189.0	210.0	0.0	1713.0	0.0	21.0	0.0	651.0	806.0	1080.0	1182.0	478.0	15.0	0.0	567.0	0.0	927.0
OTU_13	0.0	165.0	215.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1260.0	653.0	0.0	0.0	553.0	810.0	703.0	0.0	0.0	169.0	0.0
OTU_14	0.0	0.0	0.0	0.0	1362.0	0.0	0.0	0.0	269.0	0.0	0.0	35.0	0.0	0.0	0.0	614.0	0.0	0.0	620.0	0.0	0.0	0.0	30.0	0.0	0.0	616.0
OTU_15	373.0	982.0	0.0	0.0	0.0	0.0	1097.0	0.0	361.0	0.0	0.0	0.0	1764.0	52.0	636.0	563.0	0.0	0.0	0.0	0.0	682.0	230.0	0.0	431.0	0.0	0.0
OTU_16	205.0	1615.0	0.0	0.0	0.0	1139.0	0.0	0.0	148.0	786.0	906.0	0.0	295.0	0.0	919.0	0.0	0.0	688.0	0.0	126.0	0.0	0.0	1332.0	717.0	0.0	463.0
OTU_17	977.0	0.0	0.0	1150.0	1296.0	0.0	775.0	0.0	0.0	1094.0	0.0	0.0	0.0	1931.0	0.0	0.0	680.0	560.0	0.0	0.0	0.0	0.0	196.0	495.0	0.0	0.0
OTU_18	0.0	0.0	0.0	1365.0	0.0	158.0	0.0	0.0	450.0	0.0	1244.0	0.0	0.0	0.0	0.0	0.0	469.0	0.0	0.0	0.0	0.0	0.0	35.0	529.0	1652.0	0.0
OTU_19	0.0	0.0	0.0	0.0	0.0	0.0	897.0	0.0	0.0	395.0	130.0	0.0	0.0	0.0	989.0	0.0	646.0	0.0	0.0	71.0	0.0	397.0	0.0	339.0	839.0	0.0
OTU_20	271.0	0.0	0.0	1195.0	866.0	1005.0	291.0	0.0	249.0	729.0	0.0	0.0	0.0	891.0	0.0	311.0	0.0	585.0	0.0	0.0	0.0	106.0	305.0	0.0	0.0	59.0
OTU_21	703.0	0.0	1318.0	0.0	380.0	0.0	0.0	0.0	278.0	470.0	0.0	63.0	0.0	0.0	362.0	1228.0	0.0	0.0	0.0	73.0	319.0	971.0	0.0	0.0	0.0	1164.0
OTU_22	0.0	0.0	0.0	1412.0	735.0	0.0	0.0	0.0	1038.0	80.0	0.0	0.0	0.0	1822.0	1423.0	0.0	0.0	713.0	0.0	0.0	0.0	0.0	0.0	1022.0	0.0	754.0
OTU_23	0.0	0.0	689.0	0.0	0.0	0.0	0.0	0.0	0.0	428.0	0.0	0.0	1194.0	0.0	128.0	342.0	339.0	1154.0	877.0	0.0	0.0	0.0	1387.0	0.0	0.0	0.0
OTU_24	613.0	1061.0	0.0	0.0	572.0	0.0	168.0	1975.0	332.0	0.0	0.0	0.0	0.0	0.0	0.0	352.0	466.0	0.0	0.0	0.0	0.0	83.0	0.0	0.0	0.0	0.0
OTU_25	1038.0	0.0	0.0	0.0	1368.0	0.0	0.0	412.0	880.0	0.0	0.0	0.0	466.0	0.0	1150.0	0.0	0.0	715.0	715.0	1059.0	0.0	986.0	738.0	0.0	527.0	1194.0
OTU_26	0.0	0.0	208.0	0.0	0.0	345.0	0.0	1429.0	757.0	384.0	0.0	741.0	0.0	992.0	155.0	0.0	348.0	0.0	876.0	879.0	0.0	1172.0	0.0	1282.0	0.0	0.0
OTU_27	97.0	0.0	0.0	0.0	76.0	0.0	0.0	0.0	1127.0	1026.0	482.0	0.0	1247.0	964.0	1321.0	336.0	903.0	0.0	0.0	0.0	0.0	0.0	0.0	1125.0	0.0	916.0
OTU_28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	553.0	445.0	581.0	0.0	1847.0	0.0	0.0	0.0	214.0	0.0	446.0	278.0	888.0	0.0	941.0	1031.0	0.0	0.0	231.0
OTU_29	741.0	0.0	0.0	0.0	0.0	0.0	0.0	1692.0	104.0	0.0	1341.0	2015.0	0.0	0.0	0.0	0.0	0.0	0.0	880.0	0.0	626.0	0.0	0.0	0.0	0.0	0.0
OTU_30	742.0	0.0	0.0	0.0	0.0	316.0	0.0	0.0	0.0	0.0	893.0	0.0	0.0	0.0	1367.0	1119.0	0.0	0.0	0.0	284.0	0.0	114.0	0.0	559.0	0.0	792.0
OTU_31	0.0	0.0	977.0	0.0	122.0	739.0	0.0	0.0	0.0	946.0	0.0	0.0	0.0	0.0	0.0	606.0	0.0	174.0	0.0	223.0	0.0	0.0	796.0	0.0	0.0	710.0
OTU_32	0.0	0.0	0.0	0.0	0.0	122.0	0.0	2339.0	413.0	711.0	0.0	0.0	0.0	0.0	0.0	0.0	898.0	565.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU_33	0.0	133.0	0.0	0.0	570.0	882.0	0.0	170.0	0.0	753.0	157.0	1671.0	0.0	0.0	700.0	235.0	225.0	0.0	393.0	0.0	0.0	0.0	0.0	0.0	0.0	293.0
OTU_34	68.0	0.0	0.0	0.0	1018.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	361.0	176.0	910.0	0.0	0.0	773.0	1137.0	0.0	0.0	396.0	1677.0	0.0	913.0	190.0
OTU_35	0.0	1654.0	0.0	0.0	0.0	170.0	994.0	0.0	632.0	198.0	943.0	0.0	0.0	0.0	1228.0	126.0	0.0	0.0	1260.0	0.0	0.0	0.0	0.0	0.0	0.0	78.0
OTU_36	0.0	0.0	0.0	0.0	0.0	721.0	0.0	0.0	784.0	0.0	0.0	1135.0	0.0	270.0	1395.0	0.0	0.0	184.0	0.0	0.0	1840.0	0.0	0.0	0.0	604.0	0.0
OTU_37	552.0	0.0	515.0	0.0	0.0	0.0	666.0	980.0	932.0	396.0	1097.0	0.0	313.0	0.0	568.0	0.0	1324.0	0.0	97.0	0.0	1770.0	0.0	1964.0	340.0	1400.0	210.0
OTU_38	0.0	162.0	1562.0	1371.0	0.0	734.0	55.0	0.0	0.0	800.0	0.0	593.0	0.0	0.0	572.0	0.0	0.0	0.0	366.0	883.0	0.0	1171.0	0.0	0.0	0.0	1306.0
OTU_39	549.0	0.0	1804.0	197.0	494.0	0.0	1055.0	258.0	0.0	758.0	0.0	0.0	1185.0	0.0	0.0	1099.0	86.0	0.0	0.0	734.0	0.0	0.0	0.0	0.0	1295.0	0.0
OTU_40	0.0	138.0	185.0	0.0	117.0	0.0	541.0	0.0	739.0	944.0	473.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1058.0	0.0	414.0	0.0	618.0	0.0	0.0	0.0
OTU_41	0.0	0.0	114.0	0.0	0.0	0.0	550.0	0.0	0.0	179.0	207.0	0.0	0.0	1380.0	0.0	193.0	268.0	520.0	846.0	65.0	0.0	381.0	0.0	763.0	0.0	232.0
OTU_42	614.0	580.0	0.0	688.0	524.0	0.0	0.0	0.0	0.0	837.0	0.0	2098.0	839.0	751.0	0.0	0.0	1107.0	1133.0	314.0	147.0	0.0	0.0	0.0	644.0	0.0	0.0
OTU_43	385.0	0.0	0.0	806.0	1084.0	368.0	497.0	2368.0	0.0	276.0	0.0	0.0	216.0	2049.0	891.0	1277.0	650.0	48.0	0.0	173.0	0.0	1142.0	0.0	0.0	0.0	0.0
OTU_44	1025.0	0.0	0.0	0.0	0.0	605.0	0.0	0.0	636.0	999.0	617.0	0.0	0.0	0.0	0.0	801.0	0.0	0.0	1132.0	0.0	308.0	0.0	0.0	0.0	0.0	0.0
OTU_45	319.0	0.0	1660.0	0.0	0.0	0.0	1154.0	0.0	670.0	0.0	277.0	1684.0	96.0	0.0	0.0	1222.0	825.0	0.0	1194.0	0.0	1772.0	617.0	63.0	1319.0	0.0	118.0
OTU_46	385.0	1301.0	1039.0	0.0	0.0	744.0	327.0	1564.0	1107.0	463.0	0.0	533.0	0.0	0.0	463.0	0.0	77.0	4.0	1025.0	714.0	0.0	1006.0	0.0	0.0	0.0	0.0
OTU_47	0.0	0.0	1220.0	0.0	0.0	0.0	245.0	0.0	0.0	0.0	0.0	0.0	1336.0	0.0	845.0	0.0	0.0	0.0	846.0	873.0	1858.0	0.0	0.0	0.0	0.0	0.0
OTU_48	471.0	0.0	977.0	1683.0	0.0	28.0	715.0	0.0	0.0	0.0	0.0	1098.0	0.0	594.0	1243.0	1016.0	1392.0	0.0	0.0	538.0	0.0	0.0	0.0	170.0	0.0	587.0
OTU_49	0.0	0.0	895.0	0.0	119.0	1385.0	0.0	0.0	0.0	0.0	918.0	861.0	1843.0	0.0	1004.0	0.0	678.0	137.0	0.0	0.0	0.0	0.0	0.0	843.0	0.0	462.0
OTU_50	0.0	0.0	2004.0	0.0	0.0	0.0	0.0	0.0	0.0	995.0	0.0	1459.0	184.0	0.0	0.0	0.0	0.0	0.0	696.0	27.0	0.0	259.0	0.0	945.0	628.0	1297.0
OTU_51	242.0	461.0	211.0	0.0	0.0	1533.0	403.0	599.0	215.0	37.0	17.0	0.0	0.0	0.0	551.0	0.0	0.0	455.0	0.0	0.0	0.0	0.0	0.0	1295.0	1993.0	428.0
OTU_52	0.0	0.0	173.0	0.0	497.0	0.0	0.0	0.0	0.0	256.0	0.0	0.0	0.0	1320.0	0.0	0.0	653.0	0.0	0.0	814.0	1836.0	0.0	0.0	1096.0	0.0	281.0
OTU_53	392.0	795.0	25.0	533.0	0.0	488.0	643.0	236.0	936.0	0.0	268.0	0.0	44.0	0.0	342.0	1064.0	0.0	607.0	0.0	64.0	0.0	348.0	0.0	0.0	0.0	546.0
OTU_54	549.0	0.0	0.0	0.0	0.0	0.0	0.0	2366.0	142.0	0.0	323.0	0.0	0.0	0.0	0.0	0.0	591.0	0.0	641.0	1117.0	1021.0	0.0	0.0	0.0	0.0	345.0
OTU_55	67.0	0.0	0.0	0.0	1033.0	1258.0	54.0	0.0	0.0	0.0	0.0	224.0	1098.0	0.0	984.0	793.0	0.0	722.0	0.0	0.0	0.0	415.0	0.0	1266.0	887.0	0.0
OTU_56	355.0	48.0	0.0	656.0	0.0	1245.0	864.0	0.0	0.0	331.0	0.0	0.0	0.0	0.0	742.0	244.0	1073.0	0.0	0.0	1140.0	0.0	0.0	0.0	0.0	0.0	1090.0
OTU_57	232.0	1690.0	0.0	513.0	0.0	1102.0	0.0	0.0	982.0	178.0	0.0	0.0	1983.0	0.0	0.0	365.0	0.0	1102.0	650.0	304.0	0.0	0.0	0.0	612.0	0.0	0.0
OTU_58	0.0	0.0	793.0	0.0	1066.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1076.0	0.0	0.0	0.0	0.0	0.0	744.0	0.0	0.0	0.0	0.0	0.0	357.0
OTU_59	0.0	1243.0	0.0	0.0	0.0	1519.0	0.0	0.0	983.0	0.0	0.0	0.0	0.0	1101.0	1372.0	0.0	0.0	0.0	0.0	0.0	639.0	912.0	1323.0	1201.0	0.0	1265.0
OTU_60	0.0	0.0	521.0	0.0	0.0	0.0	1137.0	903.0	821.0	0.0	614.0	0.0	0.0	1518.0	191.0	946.0	57.0	564.0	97.0	0.0	1405.0	824.0	1479.0	0.0	0.0	0.0
OTU_61	513.0	1215.0	0.0	0.0	1239.0	938.0	0.0	0.0	0.0	1086.0	0.0	0.0	0.0	0.0	596.0	335.0	671.0	761.0	1136.0	125.0	0.0	504.0	0.0	1459.0	0.0	0.0
OTU_62	0.0	0.0	0.0	0.0	784.0	678.0	1032.0	0.0	0.0	478.0	0.0	1445.0	632.0	0.0	1.0	703.0	1275.0	0.0	0.0	666.0	0.0	0.0	0.0	0.0	362.0	0.0
OTU_63	592.0	0.0	0.0	1251.0	711.0	0.0	0.0	0.0	390.0	257.0	982.0	0.0	0.0	0.0	0.0	679.0	0.0	0.0	876.0	670.0	0.0	499.0	0.0	0.0	0.0	0.0
OTU_64	961.0	1709.0	465.0	0.0	1251.0	0.0	1068.0	0.0	0.0	399.0	1272.0	0.0	0.0	0.0	0.0	914.0	233.0	1066.0	0.0	517.0	442.0	459.0	0.0	447.0	1434.0	847.0
OTU_65	0.0	146.0	2016.0	952.0	0.0	1257.0	0.0	0.0	0.0	0.0	1143.0	0.0	0.0	0.0	0.0	0.0	794.0	0.0	92.0	0.0	0.0	121.0	0.0	0.0	0.0	995.0
OTU_66	398.0	1637.0	85.0	466.0	197.0	0.0	0.0	2008.0	1025.0	0.0	504.0	0.0	57.0	1687.0	0.0	289.0	0.0	0.0	0.0	0.0	0.0	1122.0	1034.0	1186.0	460.0	0.0
OTU_67	895.0	121.0	0.0	0.0	0.0	306.0	0.0	7.0	481.0	696.0	0.0	419.0	0.0	0.0	0.0	0.0	149.0	763.0	0.0	220.0	261.0	938.0	0.0	84.0	0.0	0.0
OTU_68	0.0	0.0	276.0	0.0	0.0	0.0	395.0	0.0	0.0	830.0	0.0	0.0	0.0	0.0	0.0	964.0	0.0	917.0	967.0	399.0	0.0	0.0	1205.0	0.0	1963.0	0.0
OTU_69	0.0	703.0	886.0	433.0	0.0	0.0	1056.0	0.0	425.0	1007.0	0.0	2031.0	0.0	0.0	62.0	0.0	376.0	0.0	0.0	0.0	0.0	1072.0	0.0	0.0	0.0	0.0
OTU_70	0.0	0.0	1317.0	208.0	812.0	0.0	0.0	0.0	0.0	102.0	104.0	0.0	823.0	0.0	929.0	326.0	651.0	0.0	0.0	0.0	0.0	0.0	0.0	203.0	0.0	0.0
OTU_71	0.0	0.0	0.0	0.0	0.0	0.0	138.0	0.0	63.0	528.0	633.0	0.0	199.0	0.0	0.0	1134.0	0.0	986.0	228.0	0.0	0.0	0.0	0.0	0.0	1546.0	0.0
OTU_72	0.0	0.0	0.0	0.0	1025.0	127.0	0.0	0.0	0.0	100.0	126.0	1743.0	0.0	1418.0	480.0	0.0	1163.0	471.0	1136.0	0.0	0.0	0.0	979.0	570.0	0.0	0.0
OTU_73	937.0	0.0	136.0	0.0	0.0	596.0	0.0	892.0	0.0	1063.0	0.0	0.0	840.0	0.0	0.0	48.0	363.0	0.0	0.0	1219.0	0.0	850.0	0.0	0.0	625.0	587.0
OTU_74	779.0	0.0	0.0	0.0	1020.0	0.0	1190.0	0.0	797.0	0.0	0.0	1241.0	0.0	181.0	1517.0	829.0	0.0	194.0	0.0	0.0	0.0	223.0	0.0	0.0	0.0	0.0
OTU_75	0.0	0.0	300.0	1252.0	0.0	0.0	1154.0	1573.0	26.0	0.0	1194.0	0.0	1975.0	0.0	0.0	0.0	863.0	0.0	0.0	0.0	1721.0	40.0	0.0	0.0	0.0	0.0
OTU_76	344.0	0.0	0.0	146.0	0.0	0.0	0.0	1156.0	667.0	564.0	0.0	1464.0	0.0	0.0	0.0	132.0	648.0	816.0	0.0	650.0	1725.0	763.0	0.0	621.0	917.0	0.0
OTU_77	283.0	1835.0	0.0	0.0	185.0	0.0	0.0	0.0	552.0	0.0	0.0	0.0	1003.0	1346.0	0.0	962.0	0.0	0.0	0.0	433.0	0.0	0.0	0.0	1105.0	1229.0	0.0
OTU_78	845.0	0.0	0.0	0.0	0.0	0.0	115.0	0.0	633.0	225.0	1338.0	0.0	0.0	1227.0	0.0	0.0	0.0	0.0	1178.0	747.0	1601.0	0.0	0.0	1009.0	1142.0	388.0
OTU_79	518.0	1185.0	0.0	0.0	79.0	0.0	0.0	569.0	187.0	203.0	921.0	0.0	444.0	0.0	0.0	0.0	141.0	1143.0	0.0	0.0	486.0	1018.0	774.0	0.0	369.0	239.0
OTU_80	1137.0	0.0	0.0	0.0	0.0	1462.0	0.0	0.0	741.0	262.0	661.0	47.0	806.0	0.0	1113.0	749.0	0.0	745.0	341.0	447.0	0.0	1054.0	0.0	0.0	1498.0	1358.0
OTU_81	306.0	0.0	1663.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	1513.0	1984.0	962.0	0.0	18.0	0.0	582.0	1192.0	0.0	1320.0	0.0	0.0	535.0	0.0	0.0
OTU_82	853.0	68.0	0.0	0.0	0.0	0.0	1043.0	569.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	1190.0	440.0	714.0	0.0	0.0	0.0	128.0	1637.0	0.0	959.0	0.0
OTU_83	180.0	0.0	0.0	0.0	474.0	195.0	1196.0	0.0	0.0	0.0	1140.0	2421.0	0.0	1046.0	0.0	0.0	844.0	187.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU_84	11.0	0.0	0.0	598.0	0.0	0.0	0.0	0.0	0.0	81.0	470.0	0.0	1005.0	0.0	0.0	1170.0	0.0	1090.0	0.0	0.0	0.0	0.0	0.0	0.0	711.0	1260.0
OTU_85	0.0	0.0	301.0	0.0	0.0	0.0	725.0	0.0	973.0	0.0	585.0	0.0	0.0	0.0	0.0	518.0	0.0	690.0	213.0	0.0	0.0	153.0	0.0	256.0	0.0	210.0
OTU_86	418.0	0.0	1324.0	938.0	622.0	371.0	0.0	0.0	0.0	295.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1233.0	0.0	0.0	0.0	0.0	0.0	304.0	0.0
OTU_87	1112.0	0.0	0.0	546.0	956.0	188.0	733.0	0.0	537.0	0.0	0.0	0.0	1287.0	520.0	943.0	0.0	0.0	963.0	0.0	625.0	0.0	0.0	1659.0	468.0	0.0	1369.0
OTU_88	659.0	0.0	391.0	722.0	0.0	1428.0	0.0	0.0	0.0	636.0	1248.0	0.0	0.0	0.0	0.0	0.0	0.0	1054.0	0.0	687.0	30.0	0.0	0.0	316.0	0.0	0.0
OTU_89	255.0	1444.0	0.0	942.0	1378.0	0.0	1036.0	0.0	106.0	1017.0	477.0	48.0	0.0	0.0	0.0	0.0	802.0	0.0	0.0	754.0	0.0	0.0	1093.0	0.0	0.0	417.0
OTU_90	0.0	1148.0	0.0	0.0	881.0	504.0	1037.0	1779.0	986.0	819.0	923.0	0.0	0.0	1147.0	0.0	132.0	0.0	1246.0	0.0	1137.0	1166.0	0.0	0.0	11.0	1658.0	0.0
OTU_91	494.0	0.0	787.0	1543.0	0.0	0.0	180.0	0.0	1005.0	0.0	240.0	0.0	0.0	1961.0	0.0	0.0	118.0	81.0	0.0	848.0	1383.0	0.0	1873.0	228.0	0.0	687.0
OTU_92	0.0	437.0	388.0	736.0	743.0	0.0	0.0	0.0	1111.0	0.0	0.0	0.0	1264.0	0.0	873.0	355.0	1036.0	0.0	0.0	493.0	0.0	510.0	890.0	0.0	0.0	122.0
OTU_93	551.0	893.0	964.0	0.0	0.0	1030.0	0.0	1947.0	185.0	0.0	0.0	1436.0	405.0	0.0	0.0	311.0	548.0	0.0	1046.0	434.0	0.0	1126.0	0.0	1364.0	269.0	861.0
OTU_94	616.0	0.0	0.0	516.0	0.0	0.0	535.0	0.0	566.0	512.0	1306.0	167.0	1563.0	0.0	0.0	788.0	763.0	0.0	594.0	977.0	416.0	65.0	1750.0	21.0	1438.0	184.0
OTU_95	195.0	884.0	873.0	0.0	0.0	1338.0	523.0	599.0	536.0	0.0	402.0	0.0	293.0	1882.0	0.0	0.0	0.0	0.0	0.0	137.0	0.0	461.0	678.0	312.0	192.0	0.0
OTU_96	0.0	0.0	0.0	431.0	1219.0	0.0	0.0	0.0	0.0	1050.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	0.0	0.0	1009.0	1287.0	208.0	1632.0	1233.0	0.0	0.0
OTU_97	0.0	0.0	0.0	1471.0	407.0	636.0	1270.0	0.0	58.0	0.0	0.0	1047.0	0.0	0.0	1010.0	0.0	0.0	0.0	0.0	945.0	1258.0	312.0	644.0	795.0	786.0	479.0
OTU_98	1068.0	1219.0	637.0	0.0	0.0	493.0	1155.0	0.0	109.0	740.0	0.0	0.0	0.0	0.0	0.0	0.0	1195.0	0.0	860.0	617.0	0.0	0.0	0.0	422.0	0.0	297.0
OTU_99	0.0	0.0	673.0	1301.0	1268.0	758.0	802.0	0.0	0.0	313.0	653.0	0.0	0.0	0.0	0.0	1291.0	580.0	281.0	0.0	0.0	0.0	828.0	0.0	0.0	0.0	0.0
OTU_100	0.0	0.0	590.0	1557.0	1128.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	177.0	898.0	821.0	0.0	0.0	0.0	390.0	0.0	1434.0	673.0	0.0
