	A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T	U	V	W	X	Y	Z
OTU_25	2817	0	0	0	3732	0	0	1139	2302	0	0	0	1240	0	3255	0	0	1942	1959	3009	0	2653	1898	0	1547	3186
OTU_26	0	0	537	0	0	879	0	3940	2184	1141	0	1991	0	2658	443	0	967	0	2284	2309	0	3189	0	3330	0	0
OTU_27	325	0	0	0	215	0	0	0	2943	2842	1341	0	3524	2599	3522	904	2356	0	0	0	0	0	0	3145	0	2413
OTU_28	0	0	0	0	0	0	0	1513	1228	1538	0	5092	0	0	0	650	0	1260	760	2406	0	2500	2774	0	0	640
OTU_29	2000	0	0	0	0	0	0	4647	324	0	3530	5584	0	0	0	0	0	0	2382	0	1790	0	0	0	0	0
OTU_30	1991	0	0	0	0	816	0	0	0	0	2296	0	0	0	3649	2896	0	0	0	788	0	320	0	1647	0	2036
OTU_31	0	0	2676	0	314	2059	0	0	0	2481	0	0	0	0	0	1685	0	445	0	612	0	0	2152	0	0	2007
OTU_32	0	0	0	0	0	311	0	6456	1101	1944	0	0	0	0	0	0	2432	1562	0	0	0	0	0	0	0	0
OTU_33	0	388	0	0	1511	2378	0	512	0	2125	445	4589	0	0	1921	638	582	0	1138	0	0	0	0	0	0	807
OTU_34	196	0	0	0	2715	0	0	0	0	0	0	0	1000	503	2553	0	0	2171	3267	0	0	1049	4521	0	2423	518
OTU_35	0	4594	0	0	0	547	2728	0	1714	558	2523	0	0	0	3305	335	0	0	3313	0	0	0	0	0	0	203
OTU_36	0	0	0	0	0	1993	0	0	2281	0	0	2994	0	696	3814	0	0	503	0	0	5017	0	0	0	1595	0
OTU_37	1419	0	1418	0	0	0	1892	2744	2671	1059	3067	0	872	0	1675	0	3668	0	228	0	5069	0	5307	995	3900	485
OTU_38	0	424	4303	3787	0	2033	125	0	0	2264	0	1610	0	0	1481	0	0	0	940	2382	0	3192	0	0	0	3573
OTU_39	1477	0	4977	559	1333	0	2946	754	0	1966	0	0	3154	0	0	3130	220	0	0	2053	0	0	0	0	3731	0
OTU_40	0	372	513	0	341	0	1499	0	2078	2626	1368	0	0	0	0	0	0	0	2808	0	1176	0	1591	0	0	0
OTU_41	0	0	272	0	0	0	1500	0	0	457	587	0	0	3899	0	526	759	1374	2248	165	0	943	0	2149	0	671
OTU_42	1746	1630	0	1864	1480	0	0	0	0	2174	0	5674	2125	2031	0	0	2968	3126	870	347	0	0	0	1676	0	0
OTU_43	939	0	0	2070	3013	1000	1378	6192	0	693	0	0	578	5647	2329	3414	1858	170	0	513	0	3140	0	0	0	0
OTU_44	2782	0	0	0	0	1656	0	0	1682	2741	1691	0	0	0	0	2260	0	0	3219	0	830	0	0	0	0	0
OTU_45	882	0	4610	0	0	0	3243	0	1736	0	766	4561	225	0	0	3513	2329	0	3149	0	4821	1838	174	3614	0	282
OTU_46	1063	3600	2787	0	0	2013	870	4289	3017	1313	0	1531	0	0	1386	0	206	16	2892	1897	0	2748	0	0	0	0
OTU_47	0	0	3327	0	0	0	719	0	0	0	0	0	3540	0	2372	0	0	0	2203	2356	5219	0	0	0	0	0
OTU_48	1257	0	2798	4359	0	88	1935	0	0	0	0	2885	0	1593	3269	2841	3618	0	0	1510	0	0	0	467	0	1538
OTU_49	0	0	2449	0	305	3861	0	0	0	0	2459	2209	5146	0	2885	0	1792	375	0	0	0	0	0	2343	0	1283
OTU_50	0	0	5404	0	0	0	0	0	0	2699	0	3968	454	0	0	0	0	0	1961	73	0	717	0	2580	1756	3612
OTU_51	599	1203	528	0	0	4063	1101	1597	596	108	43	0	0	0	1596	0	0	1213	0	0	0	0	0	3494	5533	1239
OTU_52	0	0	475	0	1381	0	0	0	0	778	0	0	0	3521	0	0	1758	0	0	2163	5146	0	0	3033	0	755
OTU_53	1079	2260	92	1402	0	1341	1650	679	2635	0	782	0	85	0	1026	2840	0	1818	0	160	0	1033	0	0	0	1510
OTU_54	1505	0	0	0	0	0	0	6352	456	0	821	0	0	0	0	0	1777	0	1696	2999	2722	0	0	0	0	979
OTU_55	199	0	0	0	2820	3493	140	0	0	0	0	650	2823	0	2788	2232	0	2020	0	0	0	1134	0	3454	2524	0
OTU_56	1024	163	0	1792	0	3342	2402	0	0	956	0	0	0	0	1924	618	2983	0	0	3287	0	0	0	0	0	2947
OTU_57	684	4590	0	1509	0	3011	0	0	2669	443	0	0	5629	0	0	973	0	2984	1752	738	0	0	0	1599	0	0
OTU_58	0	0	2163	0	2984	0	0	0	0	0	0	0	0	2834	0	0	0	0	0	2030	0	0	0	0	0	900
OTU_59	0	3412	0	0	0	4145	0	0	2720	0	0	0	0	3036	3578	0	0	0	0	0	1678	2614	3660	3158	0	3453
OTU_60	0	0	1378	0	0	0	3076	2450	2323	0	1762	0	0	4282	499	2534	147	1680	243	0	3927	2178	4034	0	0	0
OTU_61	1395	3323	0	0	3358	2503	0	0	0	2888	0	0	0	0	1620	929	1691	2046	3249	354	0	1429	0	4059	0	0
OTU_62	0	0	0	0	2039	1796	2706	0	0	1323	0	3946	1648	0	4	1957	3606	0	0	1842	0	0	0	0	962	0
OTU_63	1618	0	0	3459	1882	0	0	0	1091	706	2799	0	0	0	0	1754	0	0	2383	1841	0	1281	0	0	0	0
OTU_64	2680	4670	1301	0	3487	0	3028	0	0	1133	3521	0	0	0	0	2462	656	3077	0	1409	1157	1332	0	1230	3885	2341
OTU_65	0	383	5411	2632	0	3368	0	0	0	0	3124	0	0	0	0	0	2163	0	221	0	0	320	0	0	0	2656
OTU_66	1081	4473	300	1357	547	0	0	5504	2717	0	1456	0	138	4574	0	805	0	0	0	0	0	2857	2908	3280	1331	0
OTU_67	2356	291	0	0	0	836	0	15	1312	1918	0	1165	0	0	0	0	350	2104	0	626	696	2472	0	233	0	0
OTU_68	0	0	780	0	0	0	966	0	0	2486	0	0	0	0	0	2673	0	2504	2783	1144	0	0	3451	0	5488	0
OTU_69	0	1948	2420	1128	0	0	2759	0	1125	2832	0	5669	0	0	136	0	1041	0	0	0	0	2870	0	0	0	0
OTU_70	0	0	3667	543	2147	0	0	0	0	252	296	0	2318	0	2575	905	1735	0	0	0	0	0	0	522	0	0
OTU_71	0	0	0	0	0	0	405	0	152	1396	1698	0	544	0	0	2991	0	2744	695	0	0	0	0	0	4067	0
OTU_72	0	0	0	0	2805	314	0	0	0	273	324	4898	0	3913	1314	0	3244	1280	3114	0	0	0	2534	1653	0	0
OTU_73	2603	0	355	0	0	1596	0	2513	0	2807	0	0	2359	0	0	143	1029	0	0	3320	0	2339	0	0	1696	1742
OTU_74	2140	0	0	0	2854	0	3216	0	2131	0	0	3481	0	442	3989	2234	0	516	0	0	0	648	0	0	0	0
OTU_75	0	0	814	3545	0	0	3080	4341	75	0	3457	0	5205	0	0	0	2342	0	0	0	4466	108	0	0	0	0
OTU_76	935	0	0	463	0	0	0	3019	1813	1492	0	3880	0	0	0	366	1703	2112	0	1784	4721	2149	0	1620	2427	0
OTU_77	755	5078	0	0	422	0	0	0	1523	0	0	0	2890	3646	0	2639	0	0	0	1138	0	0	0	2963	3238	0
OTU_78	2442	0	0	0	0	0	398	0	1758	661	3479	0	0	3474	0	0	0	0	3191	2032	4407	0	0	2767	3179	1083
OTU_79	1442	3181	0	0	191	0	0	1552	457	583	2443	0	1134	0	0	0	384	3143	0	0	1352	2831	2143	0	1016	690
OTU_80	3151	0	0	0	0	3976	0	0	2026	684	1793	103	2216	0	2910	2197	0	2051	953	1248	0	2915	0	0	4116	3594
OTU_81	859	0	4519	0	0	0	69	0	0	0	0	3924	5544	2640	0	59	0	1519	3357	0	3620	0	0	1460	0	0
OTU_82	2290	218	0	0	0	0	2952	1540	0	48	0	0	0	0	0	3332	1192	1933	0	0	0	361	4495	0	2664	0
OTU_83	461	0	0	0	1283	472	3339	0	0	0	3019	6771	0	2883	0	0	2352	487	25	0	0	0	0	0	0	0
OTU_84	43	0	0	1783	0	0	0	0	0	219	1283	0	2738	0	0	3148	0	2961	0	0	0	0	0	0	1941	3371
OTU_85	0	0	869	0	0	0	1986	0	2735	0	1598	0	0	0	0	1468	0	1915	602	0	0	378	0	675	0	650
OTU_86	1147	0	3596	2657	1859	1073	0	0	0	855	0	0	0	0	0	0	0	0	3337	0	0	0	0	0	878	0
OTU_87	2986	0	0	1544	2675	553	1965	0	1486	0	0	0	3619	1376	2727	0	0	2646	0	1787	0	0	4639	1346	0	3598
OTU_88	1766	0	1171	2054	0	3841	0	0	0	1778	3509	0	0	0	0	0	0	2849	0	1830	91	0	0	952	0	0
OTU_89	672	4008	0	2541	3725	0	2745	0	327	2704	1277	112	0	0	0	0	2065	0	0	2088	0	0	2847	0	0	1083
OTU_90	0	3087	0	0	2311	1397	2882	4818	2735	2169	2485	0	0	3069	0	375	0	3252	0	3107	3102	0	0	35	4581	0
OTU_91	1338	0	2119	4052	0	0	479	0	2697	0	664	0	0	5455	0	0	342	205	0	2319	3595	0	5250	590	0	1891
OTU_92	0	1100	1043	1944	1915	0	0	0	2851	0	0	0	3524	0	2382	1007	2759	0	0	1332	0	1406	2601	0	0	298
OTU_93	1541	2514	2644	0	0	2856	0	5239	554	0	0	3987	1116	0	0	884	1622	0	2802	1190	0	3073	0	3598	699	2418
OTU_94	1731	0	0	1408	0	0	1441	0	1481	1396	3483	486	4344	0	0	2103	2115	0	1593	2691	1123	197	4891	55	3797	504
OTU_95	601	2528	2351	0	0	3726	1556	1613	1507	0	1246	0	856	5067	0	0	0	0	0	369	0	1342	1938	878	592	0
OTU_96	0	0	0	1152	3326	0	0	0	0	2859	0	0	741	0	0	0	0	0	0	2745	3510	562	4448	3401	0	0
OTU_97	0	0	0	3933	1113	1761	3270	0	153	0	0	2844	0	0	2745	0	0	0	0	2484	3299	843	1837	2182	2050	1325
OTU_98	2917	3408	1813	0	0	1367	3250	0	304	2008	0	0	0	0	0	0	3220	0	2293	1631	0	0	0	1247	0	814
OTU_99	0	0	1781	3700	3560	2016	2301	0	0	815	1727	0	0	0	0	3446	1605	869	0	0	0	2360	0	0	0	0
OTU_100	0	0	1532	4267	3250	0	0	0	0	0	112	0	0	0	0	518	2377	2305	0	0	0	1159	0	3787	1836	0
